tweets,likes,time,source,retweets,tweet_length,zitat
"🎫 Zur neuen Saison gibt es bei Borussia eine neue Ticket-Preisstruktur. Hier findet ihr unsere vier Gegner-Kategorien (A – D).

ℹ➡ https://t.co/rcLuZ9aVMR https://t.co/MlVJ1v6ucR",295,2022-07-04 17:00:02+00:00,Twitter Web App,9,178,0
"🗣 Ko Itakura: „Ich kann sowohl als Innenverteidiger als auch auf der Sechs spielen. Ich denke, dass ich der Mannschaft auf beiden Positionen helfen kann.“

#BMGamTegernsee https://t.co/G7mYltd0SI",250,2022-07-04 15:37:24+00:00,Twitter Web App,29,195,1
"Neuzugang @kougogo1270 wurde am heutigen Montagnachmittag im Rahmen eines Pressegesprächs im Trainingslager am Tegernsee offiziell bei Borussia vorgestellt. Seine wichtigsten Aussagen in der Zusammenfassung. ⤵

#BMGamTegernsee",542,2022-07-04 15:35:38+00:00,Twitter for Advertisers,45,226,0
Daniel Farke stellte sich heute Mittag den Fragen der Journalisten. Dabei gab er einen Einblick in die Kabine und teilte Eindrücke aus seiner ersten Woche bei den Fohlen. ⤵,270,2022-07-04 14:38:13+00:00,Twitter for Advertisers,8,172,0
"⚽️ Mit einer knapp zweistündigen Einheit ist Borussia offiziell ins Trainingslager gestartet. 🤩
Nicht mitmischen konnten dabei @kne_manu (Anpralltrauma am Knie) &amp; Jacob Italiano (Muskelverletzung am Oberschenkel). 
#BMGamTegernsee

🗞️ Zur Trainingsnews 👇",173,2022-07-04 13:59:23+00:00,Twitter for Advertisers,4,258,0
"✌🚴‍♂️

#BMGamTegernsee @stindl28 https://t.co/ptpBc6Ojg6",248,2022-07-04 13:06:20+00:00,Twitter Web App,8,56,0
@Harvey13Specter Möchtest du noch ein Stück Kuchen? 🍰,27,2022-07-04 12:50:48+00:00,Twitter Web App,0,53,0
"Erstes Training im Kasten! ☑💪

#BMGamTegernsee https://t.co/XlpqkrTp0X",338,2022-07-04 12:04:00+00:00,Twitter Web App,6,70,0
🤳✍️💚 https://t.co/8fCRgqenMB,399,2022-07-04 11:42:26+00:00,Twitter for iPhone,43,28,0
"Sieht gut aus! ⚽️🧲

#BMGamTegernsee @kougogo1270 https://t.co/RpVqbUsiBM https://t.co/3S3n9RfOLC",446,2022-07-04 11:40:52+00:00,Twitter for iPhone,35,96,0
"Was los, Knippi? Aus Zucker? ☔ 

#BMGamTegernsee https://t.co/R7rIl6WKId",255,2022-07-04 10:14:09+00:00,Twitter Web App,5,72,0
@BorussenFrank Na dann gute Besserung! ☝,1,2022-07-04 10:08:58+00:00,Twitter Web App,0,40,0
"Auch der Ball läuft - nicht nur die Spieler! 😅

#BMGamTegernsee https://t.co/S8bxYtqESp",160,2022-07-04 10:02:49+00:00,Twitter for iPhone,3,87,0
Da isser!🤩📸 https://t.co/9lBD4VWCMp https://t.co/TAXM6IjtN7,1139,2022-07-04 09:35:47+00:00,Twitter Web App,45,59,0
"Capitano 💚

#BMGamTegernsee @stindl28 https://t.co/YpSFFKr2lR",225,2022-07-04 09:22:05+00:00,Twitter for iPhone,7,61,0
@BorussiaLukas Ist notiert! ☑,20,2022-07-04 09:04:23+00:00,Twitter Web App,0,29,0
"Zugpferd @tonyjantschke! 🐎

#BMGamTegernsee https://t.co/8fq2USZYpW",348,2022-07-04 08:53:45+00:00,Twitter for iPhone,8,67,0
"Erstes Training! 🔛💪

#BMGamTegernsee https://t.co/Cx134zHrck",267,2022-07-04 08:40:25+00:00,Twitter for iPhone,8,60,0
"Nicht der Niederrhein, aber auch ganz nett hier… 😅

#BMGamTegernsee https://t.co/kGGFECmjMV",583,2022-07-03 19:55:31+00:00,Twitter for iPhone,6,91,0
"Aktivierung ✅

🔜 Morgen erstes Training um 10:30 Uhr

#DieFohlen #BMGamTegernsee https://t.co/89IR9ucXwu",287,2022-07-03 19:25:53+00:00,Twitter for iPhone,9,104,0
"Servus, Borussinnen &amp; Borussen!

Überall sehen wir schwarz-weiß-grün. Schön, dass ihr wieder so zahlreich da seid. 💚 https://t.co/Wd8bvBaH1A",602,2022-07-03 18:40:48+00:00,Twitter for iPhone,25,144,0
"Hurra, hurra, Borussia ist da! 😜

🤩 #DieFohlen sind in Rottach-Egern eingetroffen &amp; haben ihr Quartier im Althoff Seehotel Überfahrt bezogen! #BMGamTegernsee

🗞️ Alle Infos: https://t.co/tC8y3XviNj https://t.co/NKpEKQj6iQ",275,2022-07-03 15:51:59+00:00,Twitter Web App,10,225,1
"📍 Endlich sind wir wieder da! 😍

#BMGamTegernsee https://t.co/BfT4bvLl10",504,2022-07-03 13:45:30+00:00,Twitter for iPhone,10,72,0
"ℹ️ Borussias Erstrundenpartie im #DFBPokal gegen den SV Oberachern (31. Juli, 15:30 Uhr) wird im Freiburger Dreisamstadion ausgetragen. https://t.co/umoY2ytw0s",274,2022-07-03 13:26:22+00:00,Twitter Web App,14,159,0
"Rocco Reitz kann krankheitsbedingt nicht mit ins Trainingslager an den Tegernsee reisen.

Gute Besserung, Rocco! 💚 https://t.co/XelmrXc05C",649,2022-07-03 09:00:06+00:00,Twitter for iPhone,7,138,0
"Überraschungsgast 😍

Zak hat gestern beim Training vorbeigeschaut. Schön dich zu sehen, @Deniszakaria8! 😌 https://t.co/5lQmyFqFkN",1029,2022-07-03 07:51:25+00:00,Twitter for iPhone,20,129,0
Guten Morgen! 😁 https://t.co/mFUtEe9tNo,2716,2022-07-03 06:25:00+00:00,Twitter Web App,111,39,0
"Danke für die Inspiration, @yarei00. Direkt umgesetzt 😁",218,2022-07-02 20:25:06+00:00,Twitter Web App,8,55,0
📷 Noch ein paar Eindrücke des Tages. Morgen gibt's mehr Ko-ntent ✌ https://t.co/uwhX5Qmysq,1909,2022-07-02 20:25:05+00:00,Twitter Web App,182,90,0
